gLayCluster	GO_Terms	GO_Pvals	Nodes	N_nodes	gLayCluster	WikiPathways_source	DisGeNET_source	Publication_source	STRING_source	gLayCluster	WikiPathways_CNV	WikiPathways_noCNV
155	GPCR downstream signalling, Signaling by GPCR, G alpha (s) signalling events, Phosphodiesterases in neuronal function, G protein-coupled receptor signaling pathway	9.98354691622162e-64, 1.39200356648016e-60, 1.56088650470882e-50, 2.7129508536762e-46, 2.31751325914323e-44	ENSG00000196632,ENSG00000184845,ENSG00000117593,ENSG00000115353,ENSG00000100362,ENSG00000171408,ENSG00000101188,ENSG00000106018,ENSG00000087460,ENSG00000078549,ENSG00000115252,ENSG00000116741,ENSG00000185527,ENSG00000198055,ENSG00000163394,ENSG00000129467,ENSG00000164742,ENSG00000111664,ENSG00000158748,ENSG00000065989,ENSG00000123360,ENSG00000188778,ENSG00000168081,ENSG00000172939,ENSG00000050628,ENSG00000157005,ENSG00000156110,ENSG00000168412,ENSG00000113448,ENSG00000128271,ENSG00000073417,ENSG00000104327,ENSG00000006128,ENSG00000155897,ENSG00000147571,ENSG00000141433,ENSG00000101405,ENSG00000146469,ENSG00000148680,ENSG00000133636,ENSG00000166148,ENSG00000117480,ENSG00000121281,ENSG00000112541,ENSG00000186642,ENSG00000205268,ENSG00000141404,ENSG00000169836,ENSG00000173175,ENSG00000113749,ENSG00000180914,ENSG00000078295,ENSG00000150594,ENSG00000122585,ENSG00000113231,ENSG00000130643,ENSG00000101200,ENSG00000152270,ENSG00000102195,ENSG00000087258,ENSG00000162104,ENSG00000172572,ENSG00000064651,ENSG00000128655,ENSG00000174233,ENSG00000120088,ENSG00000112038,ENSG00000154678,ENSG00000187094,ENSG00000118432,ENSG00000133687,ENSG00000141480,ENSG00000143199,ENSG00000164128,ENSG00000133256,ENSG00000132915,ENSG00000134640,ENSG00000188822,ENSG00000138735,ENSG00000157017,ENSG00000138031	81	155	31	54	31	0	155	1	30
157	cell surface receptor signaling pathway, signal transduction, cell communication, signaling, apoptotic process	2.20265815199562e-95, 3.44724298849064e-84, 1.84750703419167e-82, 2.17586883019309e-81, 1.86434522900655e-80	ENSG00000146122,ENSG00000010810,ENSG00000149968,ENSG00000132670,ENSG00000172175,ENSG00000173273,ENSG00000148737,ENSG00000050820,ENSG00000168036,ENSG00000271503,ENSG00000168546,ENSG00000164342,ENSG00000157168,ENSG00000151892,ENSG00000140538,ENSG00000161217,ENSG00000064300,ENSG00000100985,ENSG00000082701,ENSG00000163220,ENSG00000067560,ENSG00000178568,ENSG00000172270,ENSG00000164690,ENSG00000107831,ENSG00000111537,ENSG00000241973,ENSG00000113520,ENSG00000113532,ENSG00000146648,ENSG00000176697,ENSG00000215012,ENSG00000102882,ENSG00000103037,ENSG00000140443,ENSG00000160791,ENSG00000132155,ENSG00000117984,ENSG00000151276,ENSG00000150782,ENSG00000143578,ENSG00000076984,ENSG00000185591,ENSG00000130669,ENSG00000086730,ENSG00000138798,ENSG00000170345,ENSG00000118260,ENSG00000028137,ENSG00000136238,ENSG00000132170,ENSG00000115604,ENSG00000137801,ENSG00000155368,ENSG00000110324,ENSG00000181856,ENSG00000234906,ENSG00000120885,ENSG00000181092,ENSG00000171862,ENSG00000131323,ENSG00000091583,ENSG00000143226,ENSG00000091831,ENSG00000163348,ENSG00000137843,ENSG00000138675,ENSG00000113580,ENSG00000160712,ENSG00000171016,ENSG00000038210,ENSG00000067182,ENSG00000137462,ENSG00000120899,ENSG00000157193,ENSG00000113594,ENSG00000144619,ENSG00000196954,ENSG00000138685,ENSG00000105974,ENSG00000169896,ENSG00000149294,ENSG00000169862,ENSG00000095794,ENSG00000172845,ENSG00000129910,ENSG00000105499,ENSG00000130203,ENSG00000066468,ENSG00000198752,ENSG00000137203,ENSG00000121552,ENSG00000245848,ENSG00000099942,ENSG00000123384,ENSG00000073792,ENSG00000110786,ENSG00000139318,ENSG00000132693,ENSG00000177606,ENSG00000163171,ENSG00000100030,ENSG00000171791,ENSG00000051382,ENSG00000170458,ENSG00000143801,ENSG00000177889,ENSG00000196396,ENSG00000113721,ENSG00000149527,ENSG00000121879,ENSG00000159082,ENSG00000162734,ENSG00000110244,ENSG00000109320,ENSG00000090339,ENSG00000173757,ENSG00000167244,ENSG00000173039,ENSG00000128052,ENSG00000187098,ENSG00000017427,ENSG00000164399,ENSG00000147168,ENSG00000164400,ENSG00000005339,ENSG00000175220,ENSG00000112062,ENSG00000214113,ENSG00000103423,ENSG00000077943,ENSG00000103126,ENSG00000096060,ENSG00000082512,ENSG00000226979,ENSG00000146070,ENSG00000189058,ENSG00000169083,ENSG00000076641,ENSG00000115414,ENSG00000002586,ENSG00000116128,ENSG00000198959,ENSG00000158985,ENSG00000081479,ENSG00000169398,ENSG00000007372,ENSG00000148180,ENSG00000196924,ENSG00000187323,ENSG00000174697,ENSG00000101412,ENSG00000070831,ENSG00000242689,ENSG00000010671,ENSG00000180370,ENSG00000136244,ENSG00000141510,ENSG00000120738,ENSG00000106070,ENSG00000185737,ENSG00000126561,ENSG00000143387,ENSG00000072694,ENSG00000065361,ENSG00000165678,ENSG00000050748,ENSG00000176749,ENSG00000056558,ENSG00000015475,ENSG00000182168,ENSG00000174004,ENSG00000102780,ENSG00000198400,ENSG00000107643,ENSG00000171223,ENSG00000163430,ENSG00000068366,ENSG00000117020,ENSG00000110092,ENSG00000137309,ENSG00000142192,ENSG00000142224,ENSG00000164885,ENSG00000182957,ENSG00000117461,ENSG00000117394,ENSG00000146013,ENSG00000148346,ENSG00000115008,ENSG00000070193,ENSG00000119912,ENSG00000163513,ENSG00000197442,ENSG00000175445,ENSG00000136869,ENSG00000186895,ENSG00000125538,ENSG00000164305,ENSG00000105329,ENSG00000128272,ENSG00000100290,ENSG00000110697,ENSG00000118271,ENSG00000186868,ENSG00000177885,ENSG00000259207,ENSG00000185652,ENSG00000142208,ENSG00000126456,ENSG00000107262,ENSG00000164362,ENSG00000126803,ENSG00000119737,ENSG00000134909,ENSG00000077782,ENSG00000147852,ENSG00000148053,ENSG00000171094,ENSG00000111679,ENSG00000141867,ENSG00000099331,ENSG00000266964,ENSG00000164733,ENSG00000113013,ENSG00000189056,ENSG00000136634,ENSG00000137497,ENSG00000106683,ENSG00000072062,ENSG00000196220,ENSG00000127191,ENSG00000089159,ENSG00000005421,ENSG00000197110,ENSG00000109471,ENSG00000198223,ENSG00000134460,ENSG00000111640,ENSG00000174808,ENSG00000144381,ENSG00000108691,ENSG00000159337,ENSG00000100644,ENSG00000105976,ENSG00000105723,ENSG00000168621,ENSG00000134982,ENSG00000204388,ENSG00000196628,ENSG00000204390,ENSG00000075388,ENSG00000064309,ENSG00000243708,ENSG00000114062,ENSG00000163599,ENSG00000187391,ENSG00000185291,ENSG00000100368,ENSG00000232810,ENSG00000026103,ENSG00000166908,ENSG00000136997,ENSG00000168477,ENSG00000150867,ENSG00000136068,ENSG00000140009,ENSG00000172179,ENSG00000172757	269	157	116	184	116	0	157	95	21
159	antigen processing and presentation of endogenous peptide antigen, antigen processing and presentation of peptide antigen, antigen processing and presentation of endogenous antigen, peptide antigen binding, antigen processing and presentation of peptide antigen via MHC class I	4.47022569243017e-20, 1.67416606223939e-19, 1.00418667100586e-18, 4.93841508839582e-18, 5.72774973983001e-18	ENSG00000234745,ENSG00000168394,ENSG00000143627,ENSG00000104972,ENSG00000204267,ENSG00000010704,ENSG00000091513,ENSG00000166710,ENSG00000111674,ENSG00000061918,ENSG00000204592,ENSG00000204525,ENSG00000196126,ENSG00000082212,ENSG00000111669,ENSG00000072274,ENSG00000231925,ENSG00000152402,ENSG00000127022,ENSG00000138449,ENSG00000100604,ENSG00000167004,ENSG00000089199,ENSG00000074800,ENSG00000164116,ENSG00000047457,ENSG00000206503,ENSG00000105697,ENSG00000035687,ENSG00000223865,ENSG00000124253,ENSG00000197217	32	159	11	23	11	0	159	7	4
160	cytoplasmic dynein complex, microtubule-based process, microtubule associated complex, dynein complex, Dynein-2 complex, cytoplasmic	6.40879746816307e-25, 1.4070653668666e-23, 5.50153227030927e-23, 1.2976379680697e-22, 2.1302085741351e-22	ENSG00000119333,ENSG00000189114,ENSG00000146425,ENSG00000116918,ENSG00000177143,ENSG00000120438,ENSG00000160299,ENSG00000150764,ENSG00000072864,ENSG00000135441,ENSG00000166579,ENSG00000126870,ENSG00000182606,ENSG00000264364,ENSG00000115540,ENSG00000088986,ENSG00000100099,ENSG00000007168,ENSG00000162946,ENSG00000047579,ENSG00000165169,ENSG00000213123,ENSG00000184588,ENSG00000078674,ENSG00000125971,ENSG00000138036,ENSG00000154310,ENSG00000168589,ENSG00000187240	29	160	12	17	12	0	160	11	1
161	cell-cell junction, cell-cell junction organization, tight junction, anchoring junction, Tight junction	3.39723548775472e-27, 2.0683297152802e-25, 1.50629328125019e-23, 7.25479957357671e-22, 1.47506768511733e-21	ENSG00000183153,ENSG00000104067,ENSG00000121634,ENSG00000149564,ENSG00000164107,ENSG00000183853,ENSG00000105289,ENSG00000128849,ENSG00000184113,ENSG00000152661,ENSG00000265107,ENSG00000158769,ENSG00000119139,ENSG00000112658,ENSG00000156475,ENSG00000013297,ENSG00000130396,ENSG00000158987,ENSG00000163347,ENSG00000113758,ENSG00000159248,ENSG00000143375,ENSG00000189143,ENSG00000183072,ENSG00000197822,ENSG00000089225,ENSG00000165215,ENSG00000121743,ENSG00000176165,ENSG00000081189,ENSG00000136574	31	161	24	10	24	0	161	22	2
163	EGR2 and SOX10-mediated initiation of Schwann cell myelination, Oligodendrocyte specification and differentiation leading to myelin components for CNS, myelination, ensheathment of neurons, axon ensheathment	1.52853960650044e-10, 1.94810032615699e-09, 4.573537088914e-08, 5.01026524231169e-08, 5.01026524231169e-08	ENSG00000105695,ENSG00000127863,ENSG00000186487,ENSG00000115310,ENSG00000173786,ENSG00000166886,ENSG00000123560,ENSG00000137845,ENSG00000040608,ENSG00000204655,ENSG00000108219,ENSG00000169783,ENSG00000135903,ENSG00000184486,ENSG00000122877,ENSG00000179388,ENSG00000100146,ENSG00000186318,ENSG00000197971	19	163	11	12	11	0	163	8	3
165	synapse, cell junction, chemical synaptic transmission, anterograde trans-synaptic signaling, trans-synaptic signaling	1.28349554355276e-36, 1.63551754436791e-31, 1.62100526500465e-28, 1.62100526500465e-28, 2.04264801191213e-28	ENSG00000132639,ENSG00000172020,ENSG00000109158,ENSG00000204681,ENSG00000145864,ENSG00000145863,ENSG00000145920,ENSG00000099940,ENSG00000072134,ENSG00000139190,ENSG00000136854,ENSG00000022355,ENSG00000163288,ENSG00000141367,ENSG00000113327,ENSG00000162989,ENSG00000103546,ENSG00000268089,ENSG00000170745,ENSG00000099365,ENSG00000065609,ENSG00000089169,ENSG00000124333,ENSG00000125967,ENSG00000008056,ENSG00000106976,ENSG00000220205,ENSG00000136928,ENSG00000102003,ENSG00000186297,ENSG00000157152,ENSG00000034053,ENSG00000073969,ENSG00000187730,ENSG00000106089,ENSG00000157103,ENSG00000158445,ENSG00000197959,ENSG00000168993,ENSG00000148408,ENSG00000159164,ENSG00000166206,ENSG00000070371,ENSG00000140557	44	165	12	34	12	0	165	11	1
166	Intrinsic Pathway of Fibrin Clot Formation, proteinogenic amino acid metabolic process, L-amino acid metabolic process, wound healing, response to wounding	1.27691645999408e-10, 3.39019162319706e-10, 6.89500356293874e-10, 1.02312499629874e-09, 1.56432446823947e-09	ENSG00000137154,ENSG00000001084,ENSG00000116984,ENSG00000182346,ENSG00000169704,ENSG00000113492,ENSG00000099937,ENSG00000197747,ENSG00000100714,ENSG00000128512,ENSG00000106682,ENSG00000242950,ENSG00000185245,ENSG00000214285,ENSG00000116044,ENSG00000203618,ENSG00000134001,ENSG00000023909,ENSG00000172071,ENSG00000180210,ENSG00000104368,ENSG00000133112,ENSG00000122194,ENSG00000105281,ENSG00000100219,ENSG00000110887,ENSG00000144895,ENSG00000187258,ENSG00000160200,ENSG00000115902,ENSG00000181019,ENSG00000116791,ENSG00000176974,ENSG00000110799,ENSG00000178732,ENSG00000100292,ENSG00000071462,ENSG00000100664,ENSG00000177000,ENSG00000167720	40	166	16	27	16	0	166	11	5
167	acetylcholine-gated channel complex, acetylcholine receptor activity, acetylcholine-gated monoatomic cation-selective channel activity, acetylcholine binding, excitatory extracellular ligand-gated monoatomic ion channel activity	5.02077492022069e-15, 1.53086854626411e-13, 2.07064761318933e-13, 2.74274919725046e-12, 4.75167016105708e-12	ENSG00000166664,ENSG00000041357,ENSG00000075043,ENSG00000151150,ENSG00000160716,ENSG00000080644,ENSG00000175344,ENSG00000169684,ENSG00000101204,ENSG00000169918,ENSG00000184156,ENSG00000163531	12	167	3	10	3	0	167	3	0
168	synaptic membrane, postsynapse, neuron to neuron synapse, synapse, postsynaptic membrane	1.47604678375339e-60, 2.88352307826267e-59, 7.19798294956049e-59, 9.29347553641646e-58, 1.73533368720443e-55	ENSG00000148660,ENSG00000198785,ENSG00000169760,ENSG00000179841,ENSG00000198668,ENSG00000162951,ENSG00000102683,ENSG00000198626,ENSG00000077522,ENSG00000075711,ENSG00000155511,ENSG00000198929,ENSG00000101680,ENSG00000145349,ENSG00000128591,ENSG00000131771,ENSG00000122367,ENSG00000147324,ENSG00000174469,ENSG00000122584,ENSG00000125675,ENSG00000149403,ENSG00000070808,ENSG00000164418,ENSG00000174007,ENSG00000101327,ENSG00000108819,ENSG00000251322,ENSG00000196277,ENSG00000155974,ENSG00000273079,ENSG00000166862,ENSG00000163069,ENSG00000152413,ENSG00000124493,ENSG00000213639,ENSG00000183454,ENSG00000132535,ENSG00000135837,ENSG00000176884,ENSG00000075429,ENSG00000146938,ENSG00000179915,ENSG00000196218,ENSG00000170624,ENSG00000171189,ENSG00000198010,ENSG00000181072,ENSG00000253958,ENSG00000135439,ENSG00000173402,ENSG00000108061,ENSG00000143786,ENSG00000123096,ENSG00000197283,ENSG00000112139,ENSG00000198822,ENSG00000184984,ENSG00000196569,ENSG00000110076,ENSG00000101400,ENSG00000105464,ENSG00000177807,ENSG00000164082,ENSG00000213066,ENSG00000152822,ENSG00000100151,ENSG00000117245,ENSG00000168539,ENSG00000163873,ENSG00000172164,ENSG00000082458,ENSG00000161681,ENSG00000079974,ENSG00000198947,ENSG00000120251,ENSG00000161509,ENSG00000134769,ENSG00000150672,ENSG00000108823,ENSG00000154146,ENSG00000105737,ENSG00000158402,ENSG00000196338,ENSG00000170579,ENSG00000169992,ENSG00000173281,ENSG00000058404,ENSG00000168959,ENSG00000179603,ENSG00000089250,ENSG00000099957,ENSG00000152578,ENSG00000103942,ENSG00000128573,ENSG00000116032,ENSG00000198121,ENSG00000021645	98	168	63	64	63	0	168	51	12
